id,method,domain,label_preservation,llm_fact_preservation,semantic_utility_score,semantic_utility_score_0_to_5
ratbench_english_39,rbqig_b4,Chatbot conversation,1.0,0.82,0.8,4.0
ratbench_english_40,rbqig_b4,Chatbot conversation,1.0,0.35,0.4,2.0
ratbench_english_41,rbqig_b4,Medical consultation,1.0,0.35,0.4,2.0
ratbench_english_42,rbqig_b4,Meeting transcript,1.0,0.62,0.6,3.0
ratbench_english_43,rbqig_b4,Medical consultation,1.0,0.7,0.8,4.0
ratbench_english_44,rbqig_b4,Meeting transcript,1.0,0.15,0.4,2.0
ratbench_english_45,rbqig_b4,Chatbot conversation,1.0,0.2,0.6,3.0
ratbench_english_46,rbqig_b4,Chatbot conversation,1.0,0.833333,0.8,4.0
ratbench_english_47,rbqig_b4,Chatbot conversation,1.0,0.5,0.6,3.0
ratbench_english_48,rbqig_b4,Chatbot conversation,1.0,0.55,0.6,3.0
ratbench_english_49,rbqig_b4,Medical consultation,1.0,0.72,0.8,4.0
ratbench_english_50,rbqig_b4,Medical consultation,1.0,0.75,0.8,4.0
ratbench_english_51,rbqig_b4,Medical consultation,1.0,0.6,0.6,3.0
ratbench_english_52,rbqig_b4,Chatbot conversation,1.0,0.7,0.8,4.0
ratbench_english_53,rbqig_b4,Meeting transcript,1.0,0.55,0.6,3.0
ratbench_english_54,rbqig_b4,Meeting transcript,1.0,0.1,0.2,1.0
ratbench_english_55,rbqig_b4,Chatbot conversation,1.0,0.65,0.6,3.0
ratbench_english_56,rbqig_b4,Chatbot conversation,1.0,0.85,1.0,5.0
ratbench_english_57,rbqig_b4,Chatbot conversation,1.0,0.6,0.6,3.0
ratbench_english_58,rbqig_b4,Meeting transcript,1.0,0.35,0.4,2.0
ratbench_english_59,rbqig_b4,Meeting transcript,1.0,0.65,0.6,3.0
ratbench_english_60,rbqig_b4,Meeting transcript,1.0,0.6,0.8,4.0
ratbench_english_61,rbqig_b4,Meeting transcript,0.0,0.15,0.2,1.0
ratbench_english_62,rbqig_b4,Meeting transcript,1.0,0.65,0.8,4.0
ratbench_english_63,rbqig_b4,Chatbot conversation,1.0,0.55,0.6,3.0
ratbench_english_64,rbqig_b4,Meeting transcript,1.0,0.55,0.6,3.0
ratbench_english_65,rbqig_b4,Medical consultation,1.0,0.25,0.4,2.0
ratbench_english_66,rbqig_b4,Medical consultation,1.0,0.75,0.8,4.0
ratbench_english_67,rbqig_b4,Meeting transcript,0.0,0.05,0.2,1.0
ratbench_english_68,rbqig_b4,Medical consultation,1.0,0.65,0.6,3.0
ratbench_english_69,rbqig_b4,Chatbot conversation,1.0,0.74,0.8,4.0
ratbench_english_70,rbqig_b4,Medical consultation,1.0,0.6,0.8,4.0
ratbench_english_71,rbqig_b4,Medical consultation,1.0,0.6,0.6,3.0
ratbench_english_72,rbqig_b4,Meeting transcript,1.0,0.4,0.4,2.0
ratbench_english_73,rbqig_b4,Chatbot conversation,1.0,0.7,0.6,3.0
ratbench_english_74,rbqig_b4,Chatbot conversation,1.0,0.71,0.8,4.0
ratbench_english_75,rbqig_b4,Chatbot conversation,1.0,0.65,0.6,3.0
ratbench_english_76,rbqig_b4,Medical consultation,1.0,0.72,0.6,3.0
ratbench_english_77,rbqig_b4,Medical consultation,1.0,0.62,0.8,4.0
ratbench_english_78,rbqig_b4,Medical consultation,1.0,0.45,0.4,2.0
ratbench_english_79,rbqig_b4,Meeting transcript,1.0,0.52,0.6,3.0
ratbench_english_80,rbqig_b4,Chatbot conversation,1.0,0.65,0.6,3.0
ratbench_english_81,rbqig_b4,Chatbot conversation,1.0,0.75,0.8,4.0
ratbench_english_82,rbqig_b4,Meeting transcript,1.0,0.62,0.8,4.0
ratbench_english_83,rbqig_b4,Medical consultation,1.0,0.55,0.6,3.0
ratbench_english_84,rbqig_b4,Meeting transcript,1.0,0.6,0.6,3.0
ratbench_english_85,rbqig_b4,Meeting transcript,1.0,0.15,0.4,2.0
ratbench_english_86,rbqig_b4,Meeting transcript,1.0,0.35,0.4,2.0
ratbench_english_87,rbqig_b4,Chatbot conversation,1.0,0.55,0.6,3.0
ratbench_english_88,rbqig_b4,Chatbot conversation,1.0,0.67,0.6,3.0
ratbench_english_89,rbqig_b4,Chatbot conversation,1.0,0.62,0.6,3.0
ratbench_english_90,rbqig_b4,Chatbot conversation,1.0,0.78,0.8,4.0
ratbench_english_91,rbqig_b4,Meeting transcript,1.0,0.1,0.4,2.0
ratbench_english_92,rbqig_b4,Meeting transcript,1.0,0.33,0.4,2.0
ratbench_english_93,rbqig_b4,Chatbot conversation,1.0,0.5,0.6,3.0
ratbench_english_94,rbqig_b4,Meeting transcript,1.0,0.62,0.6,3.0
ratbench_english_95,rbqig_b4,Medical consultation,1.0,0.25,0.6,3.0
ratbench_english_96,rbqig_b4,Medical consultation,1.0,0.75,0.6,3.0
ratbench_english_97,rbqig_b4,Chatbot conversation,1.0,0.6,0.8,4.0
ratbench_english_98,rbqig_b4,Medical consultation,1.0,0.6,0.6,3.0
ratbench_english_99,rbqig_b4,Meeting transcript,1.0,0.35,0.4,2.0
